domain,split,stem,source_image,source_label,dest_image,dest_label,image_sha256,label_sha256,instances
eo,train,day_eo_22_03_day_drone_mount_eo_nvrec1_0140,..\datasets\indraeye_seg\eo\images\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0140.jpg,..\datasets\indraeye_seg\eo\labels\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0140.txt,data\raw\indraeye_seg\eo\images\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0140.jpg,data\raw\indraeye_seg\eo\labels\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0140.txt,13b61d9f930565a9b3e287f72ef6f0818c193c07056460a181f6615acd86f294,86fd9ea414cafcb9ee6a658d282f2f8ac2ff1e04c798a7a2a237999b8c6071ad,31
eo,train,day_eo_22_03_day_drone_mount_eo_nvrec1_0175,..\datasets\indraeye_seg\eo\images\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0175.jpg,..\datasets\indraeye_seg\eo\labels\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0175.txt,data\raw\indraeye_seg\eo\images\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0175.jpg,data\raw\indraeye_seg\eo\labels\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0175.txt,6c85b8edad587173d1ab156782385b464d8b23360878f11c3405847aa750686d,e948d1df9e9c3b7792357a511e7ed3f94763c3102f76893f8a9594d9b84a611f,26
eo,train,day_eo_22_03_day_drone_mount_eo_nvrec1_0210,..\datasets\indraeye_seg\eo\images\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0210.jpg,..\datasets\indraeye_seg\eo\labels\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0210.txt,data\raw\indraeye_seg\eo\images\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0210.jpg,data\raw\indraeye_seg\eo\labels\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0210.txt,5172b35327a0ce87f4e472e793aa07c723b172acc0e27034ceb366728a53a0cd,d78484106819fc08f67e16e389e724a6c0bfdce842af682eada8ffaf450fadc6,30
eo,train,day_eo_22_03_day_drone_mount_eo_nvrec1_0245,..\datasets\indraeye_seg\eo\images\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0245.jpg,..\datasets\indraeye_seg\eo\labels\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0245.txt,data\raw\indraeye_seg\eo\images\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0245.jpg,data\raw\indraeye_seg\eo\labels\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0245.txt,877aafdd4dd8f32ef751b6b6367424b257f20a5be155517acf8757d327eb16ef,9d11abc8490c96eeef2de69466be4aeac3034d3431211e8ab83f15eb9fd970bd,32
eo,train,day_eo_22_03_day_drone_mount_eo_nvrec1_0350,..\datasets\indraeye_seg\eo\images\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0350.jpg,..\datasets\indraeye_seg\eo\labels\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0350.txt,data\raw\indraeye_seg\eo\images\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0350.jpg,data\raw\indraeye_seg\eo\labels\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0350.txt,5bccfb817d3c4dabef474c600dc5da18e9c135b3b857e9fd767deccb16ac7302,85604089bcd4b7a1d0ece99e1462041a27a9ac93bf5c647bb35a7add6995c9ce,31
eo,train,day_eo_22_03_day_drone_mount_eo_nvrec1_0385,..\datasets\indraeye_seg\eo\images\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0385.jpg,..\datasets\indraeye_seg\eo\labels\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0385.txt,data\raw\indraeye_seg\eo\images\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0385.jpg,data\raw\indraeye_seg\eo\labels\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0385.txt,23f38ed5e11c327e26b2836634a78bf1855312e38212c08123691b358139a07d,5bc75277af4bc0850b7c3bed41fb6bea751a0b81af464e7327636dc31d457097,26
eo,train,day_eo_22_03_day_drone_mount_eo_nvrec1_0420,..\datasets\indraeye_seg\eo\images\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0420.jpg,..\datasets\indraeye_seg\eo\labels\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0420.txt,data\raw\indraeye_seg\eo\images\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0420.jpg,data\raw\indraeye_seg\eo\labels\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0420.txt,17f499b248fc994b43a66c861eaa884d758dc27ee2c96205be3daceb07caef4e,0c62e28d762df46f640eebb3272524ac4dd49e2a3950920aa1e2aa2d62ac07ce,24
eo,train,day_eo_22_03_day_drone_mount_eo_nvrec1_0455,..\datasets\indraeye_seg\eo\images\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0455.jpg,..\datasets\indraeye_seg\eo\labels\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0455.txt,data\raw\indraeye_seg\eo\images\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0455.jpg,data\raw\indraeye_seg\eo\labels\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0455.txt,352a03bf1b267bac8a35fe2b38175a6a54043eb451ea3e6fa85c7afac52630df,ff92ea4c7ed00316c0603e8b63f065ec1e2d55093cd2b1649dce98d9e0cd81e6,24
eo,train,day_eo_22_03_day_drone_mount_eo_nvrec1_0490,..\datasets\indraeye_seg\eo\images\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0490.jpg,..\datasets\indraeye_seg\eo\labels\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0490.txt,data\raw\indraeye_seg\eo\images\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0490.jpg,data\raw\indraeye_seg\eo\labels\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0490.txt,c7303e37ba5de035cba34a1f100b919ca529f0922e8d0e9a2c8a94fbebd3cb9d,5ac3d997575d037f13fb83ef1cfe8d4f26d7fcd54ca89276fd64674edd150063,30
eo,train,day_eo_22_03_day_drone_mount_eo_nvrec1_0525,..\datasets\indraeye_seg\eo\images\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0525.jpg,..\datasets\indraeye_seg\eo\labels\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0525.txt,data\raw\indraeye_seg\eo\images\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0525.jpg,data\raw\indraeye_seg\eo\labels\train\day_eo_22_03_day_drone_mount_eo_nvrec1_0525.txt,f643d077e1d9b6f441340346c6d3ebc3ee510248e309635763e6aae8888b4116,0af8f7da898c10bdd370a445eb54997610d828eed02836d819d74d07dedf9fa4,26
