id,method,model,train,eval,source,box_mAP50,box_mAP50_95,mask_mAP50,mask_mAP50_95
E01,EO-only baseline,YOLO11s-seg,EO,eval_eo_ir,zip,0.3621175870911337,0.2602931694902523,0.3386021790898177,0.16686614507110187
E02,Full grayscale EO,YOLO11s-seg,EO-gray,eval_eo_ir,zip,0.3193844643790267,0.21788824469590648,0.2917047986593532,0.14173803502190147
E03,Box-guided grayscale EO,YOLO11s-seg,EO box-gray,eval_eo_ir,zip,0.1552848859630194,0.10266354213116564,0.14265377922720476,0.06046985294245921
E04,Mask-guided grayscale EO,YOLO11s-seg,EO mask-gray,eval_eo_ir,zip,0.198669974294536,0.12819540452743083,0.1768357348903191,0.07054904930637376
E09,Joint EO+IR,YOLO11s-seg,EO+IR,eval_eo_ir,zip,0.5774098658907031,0.44692050130918964,0.5483186780788879,0.306903327980795
N1,IR-only supervised,YOLO11s-seg,IR,eval_eo_ir,zip,0.36603486245395284,0.2893819119781689,0.3232545734713998,0.19018865696080678
N2,Balanced EO+IR,YOLO11s-seg,EO+IR balanced,eval_eo_ir,zip,0.5618222810895509,0.4320992285908698,0.5251385773419311,0.29688064893163285
N3,Joint EO+IR large,YOLO11l-seg,EO+IR,eval_eo_ir,zip,0.619181204476274,0.5025063157154979,0.5822663037606259,0.33077335730504737
N4,IR-only large,YOLO11l-seg,IR,eval_eo_ir,zip,0.3768032540357766,0.3010658725545177,0.34476439547842136,0.19844869589470568
N6,N3+N4 mask-aware ensemble,2x YOLO11l-seg,EO+IR + IR,eval_eo_ir,zip,0.5827984455910357,0.4749387797902834,0.5462348511411214,0.3139002419166778
N7,Joint EO+IR high-res,YOLO11l-seg,EO+IR,eval_eo_ir,zip,0.6382916039002838,0.5244207554684841,0.6162974893163705,0.43102710981121767
N8,Joint EO+IR high-res XL,YOLO11x-seg,EO+IR,eval_eo_ir,manual,0.6632091284242422,0.5455120796059331,0.6462590517563528,0.4421922340208558
E01,EO-only baseline,YOLO11s-seg,EO,eval_ir,zip,0.23621932411223312,0.16435937761370212,0.22025744189684504,0.0948257850297886
E02,Full grayscale EO,YOLO11s-seg,EO-gray,eval_ir,zip,0.24382010423775335,0.1548212168571376,0.22744634418346907,0.10395470309774936
E03,Box-guided grayscale EO,YOLO11s-seg,EO box-gray,eval_ir,zip,0.20513743343827306,0.13419351731990778,0.19722365411235365,0.08108706552385604
E04,Mask-guided grayscale EO,YOLO11s-seg,EO mask-gray,eval_ir,zip,0.2143545850690093,0.13838349206678727,0.20060226692557961,0.08115453737949506
E09,Joint EO+IR,YOLO11s-seg,EO+IR,eval_ir,zip,0.6898960445685245,0.5640124007689387,0.6691199244543675,0.422922492250441
N1,IR-only supervised,YOLO11s-seg,IR,eval_ir,zip,0.7015024770285075,0.5742875823351972,0.6529821565117512,0.43420463929741865
N2,Balanced EO+IR,YOLO11s-seg,EO+IR balanced,eval_ir,zip,0.6679930600286039,0.53251090276939,0.6407459406301019,0.40306849990592764
N3,Joint EO+IR large,YOLO11l-seg,EO+IR,eval_ir,zip,0.7166524393556059,0.6099277910124605,0.6967709251175855,0.45546279763629205
N4,IR-only large,YOLO11l-seg,IR,eval_ir,zip,0.7056331808031864,0.5943216889864195,0.6554758592861941,0.44380415531599066
N6,N3+N4 mask-aware ensemble,2x YOLO11l-seg,EO+IR + IR,eval_ir,zip,0.7171479770816173,0.6142992918382666,0.6909596274529605,0.4552539879341147
N7,Joint EO+IR high-res,YOLO11l-seg,EO+IR,eval_ir,zip,0.7191785388636555,0.6128133550486715,0.7025035806969622,0.5250253446739105
N8,Joint EO+IR high-res XL,YOLO11x-seg,EO+IR,eval_ir,manual,0.7204501325873608,0.6091304423510924,0.7040857021798551,0.5145016775507094
